statement_id,significance
188,Pathogenic/Likely pathogenic
189,Pathogenic/Likely pathogenic
190,Pathogenic/Likely pathogenic
191,Pathogenic
192,Uncertain significance
193,Uncertain significance
194,Pathogenic/Likely pathogenic
195,Pathogenic/Likely pathogenic
196,Pathogenic/Likely pathogenic
197,Pathogenic/Likely pathogenic
198,Pathogenic/Likely pathogenic
199,Pathogenic/Likely pathogenic
200,Pathogenic/Likely pathogenic
201,Pathogenic/Likely pathogenic
202,Pathogenic/Likely pathogenic
203,Pathogenic/Likely pathogenic
204,Pathogenic/Likely pathogenic
205,Conflicting interpretations of pathogenicity
206,Conflicting interpretations of pathogenicity
207,Conflicting interpretations of pathogenicity
208,Conflicting interpretations of pathogenicity
209,Conflicting interpretations of pathogenicity
210,Conflicting interpretations of pathogenicity
211,Uncertain significance
212,Uncertain significance
213,Uncertain significance
214,Uncertain significance
215,Uncertain significance
216,Pathogenic/Likely pathogenic
217,Pathogenic/Likely pathogenic
218,Pathogenic/Likely pathogenic
219,Pathogenic/Likely pathogenic
220,Pathogenic/Likely pathogenic
221,Pathogenic/Likely pathogenic
222,Pathogenic
223,Pathogenic
224,Pathogenic
225,Pathogenic
226,Pathogenic
227,Pathogenic/Likely pathogenic
228,Pathogenic/Likely pathogenic
229,Pathogenic
230,Uncertain significance
231,Pathogenic
232,Conflicting interpretations of pathogenicity
233,Conflicting interpretations of pathogenicity
234,Conflicting interpretations of pathogenicity
235,Uncertain significance
236,Uncertain significance
237,Pathogenic
238,Pathogenic
239,Pathogenic/Likely pathogenic
240,Pathogenic/Likely pathogenic
241,Pathogenic
242,Pathogenic
243,Conflicting interpretations of pathogenicity
244,Conflicting interpretations of pathogenicity
245,Pathogenic
246,Pathogenic
247,Pathogenic
248,Pathogenic
249,Pathogenic
250,Benign
251,Likely pathogenic
252,Likely pathogenic
253,Pathogenic
254,Benign
255,Benign
256,Benign
257,Pathogenic/Likely pathogenic
258,Pathogenic/Likely pathogenic
259,Pathogenic
260,Pathogenic
261,Pathogenic
262,Pathogenic
263,Pathogenic
264,Pathogenic
265,Pathogenic
266,Pathogenic/Likely pathogenic
267,Pathogenic
268,Pathogenic
269,Pathogenic
270,Pathogenic/Likely pathogenic
271,Pathogenic/Likely pathogenic
272,Pathogenic
273,Pathogenic
274,Pathogenic
275,Pathogenic
276,Pathogenic
277,Pathogenic
278,Uncertain significance
279,Pathogenic
280,Pathogenic
281,Pathogenic
282,Pathogenic/Likely pathogenic
283,Pathogenic/Likely pathogenic
284,Pathogenic
285,Pathogenic/Likely pathogenic
286,Pathogenic/Likely pathogenic
287,Pathogenic/Likely pathogenic
288,Pathogenic
289,Pathogenic/Likely pathogenic
290,Pathogenic/Likely pathogenic
291,Pathogenic/Likely pathogenic
292,Pathogenic/Likely pathogenic
293,Pathogenic/Likely pathogenic
294,Pathogenic/Likely pathogenic
295,Pathogenic/Likely pathogenic
296,Pathogenic
297,Pathogenic
298,Pathogenic
299,Pathogenic
300,Pathogenic/Likely pathogenic
301,Pathogenic/Likely pathogenic
302,Pathogenic
303,Pathogenic; risk factor
304,Pathogenic; risk factor
305,risk factor
306,Pathogenic; risk factor
307,Pathogenic; risk factor
308,Likely pathogenic
309,Likely pathogenic
310,Pathogenic
311,Likely pathogenic
312,Pathogenic/Likely pathogenic
313,Pathogenic
314,Pathogenic
315,Pathogenic
316,Pathogenic
317,Pathogenic
318,Pathogenic
319,Pathogenic
320,Conflicting interpretations of pathogenicity
321,Pathogenic/Likely pathogenic
322,Pathogenic/Likely pathogenic
323,Pathogenic
324,Pathogenic
325,Pathogenic
326,Pathogenic
327,Pathogenic
328,Pathogenic
329,Pathogenic
330,Uncertain significance
331,Uncertain significance
332,Pathogenic
333,Pathogenic
334,Benign
335,Benign
336,Benign
337,Pathogenic
338,Pathogenic
339,Pathogenic
340,Pathogenic
341,Pathogenic
342,Pathogenic
343,Pathogenic
344,Pathogenic
345,Conflicting interpretations of pathogenicity
346,Conflicting interpretations of pathogenicity
347,Conflicting interpretations of pathogenicity
348,Conflicting interpretations of pathogenicity
349,Pathogenic
350,Pathogenic
351,Pathogenic
352,Pathogenic
353,Pathogenic
354,Pathogenic
355,Pathogenic
356,Pathogenic
357,Pathogenic
358,Pathogenic
359,Pathogenic
360,Pathogenic
361,Pathogenic
362,Pathogenic
363,Pathogenic
364,Pathogenic
365,Pathogenic
366,Pathogenic/Likely pathogenic
367,Pathogenic/Likely pathogenic
368,Pathogenic/Likely pathogenic
369,Pathogenic/Likely pathogenic
370,Pathogenic/Likely pathogenic
371,Pathogenic/Likely pathogenic
372,Pathogenic/Likely pathogenic
373,Pathogenic/Likely pathogenic
374,Uncertain significance
375,Uncertain significance
376,Pathogenic
377,Pathogenic
378,Pathogenic
379,Pathogenic
380,Pathogenic
381,Pathogenic
382,Pathogenic
383,Pathogenic
384,Pathogenic
385,Pathogenic
386,Pathogenic/Likely pathogenic
387,Pathogenic/Likely pathogenic
388,Pathogenic/Likely pathogenic
389,Pathogenic/Likely pathogenic
390,Pathogenic/Likely pathogenic
391,Pathogenic/Likely pathogenic
392,Pathogenic
393,Pathogenic
394,Pathogenic
395,Pathogenic
396,Pathogenic
397,Pathogenic/Likely pathogenic
398,Pathogenic/Likely pathogenic
399,Pathogenic/Likely pathogenic
400,Pathogenic/Likely pathogenic
401,Pathogenic/Likely pathogenic
402,Pathogenic/Likely pathogenic
403,Pathogenic/Likely pathogenic
404,Pathogenic/Likely pathogenic
405,Pathogenic/Likely pathogenic
406,Pathogenic
407,Pathogenic
408,Pathogenic
409,Pathogenic
410,Pathogenic
411,Pathogenic
412,Pathogenic
413,Pathogenic
414,Pathogenic
415,Pathogenic
416,Pathogenic
417,Conflicting interpretations of pathogenicity
418,Conflicting interpretations of pathogenicity
419,Conflicting interpretations of pathogenicity
420,Conflicting interpretations of pathogenicity
421,Conflicting interpretations of pathogenicity
422,Pathogenic/Likely pathogenic
423,Pathogenic/Likely pathogenic
424,Pathogenic/Likely pathogenic
425,Pathogenic/Likely pathogenic
426,Pathogenic/Likely pathogenic
427,Pathogenic
428,Pathogenic
429,Pathogenic
430,Pathogenic/Likely pathogenic
431,Pathogenic/Likely pathogenic
432,Pathogenic/Likely pathogenic
433,Pathogenic/Likely pathogenic
434,Pathogenic/Likely pathogenic
435,Pathogenic/Likely pathogenic
436,Pathogenic/Likely pathogenic
437,Pathogenic/Likely pathogenic
438,Pathogenic
439,Pathogenic
440,Pathogenic
441,Pathogenic
442,Pathogenic
443,Pathogenic
444,Pathogenic
445,Pathogenic
446,Pathogenic
447,Pathogenic
448,Pathogenic
449,Pathogenic
450,Pathogenic
451,Pathogenic
452,Pathogenic
453,Pathogenic
454,Pathogenic
455,Pathogenic
456,Pathogenic
457,Pathogenic
458,Pathogenic
459,Pathogenic
460,Pathogenic
461,Pathogenic
462,Pathogenic
463,Pathogenic
464,Pathogenic
465,Pathogenic
466,Pathogenic
467,Pathogenic
468,Pathogenic
469,Pathogenic
470,Pathogenic
471,Pathogenic
472,Conflicting interpretations of pathogenicity; risk factor
473,Conflicting interpretations of pathogenicity; risk factor
474,Conflicting interpretations of pathogenicity; risk factor
475,Conflicting interpretations of pathogenicity; risk factor
476,Conflicting interpretations of pathogenicity; risk factor
477,Conflicting interpretations of pathogenicity; risk factor
478,Conflicting interpretations of pathogenicity; risk factor
479,Pathogenic
480,Pathogenic
481,Pathogenic
482,Pathogenic
483,Pathogenic
484,Pathogenic
485,Conflicting interpretations of pathogenicity
486,Conflicting interpretations of pathogenicity
487,Conflicting interpretations of pathogenicity
488,Conflicting interpretations of pathogenicity
489,Conflicting interpretations of pathogenicity
490,Conflicting interpretations of pathogenicity
491,Pathogenic
492,Pathogenic
493,Pathogenic
494,Pathogenic
495,Pathogenic
496,Pathogenic
497,Pathogenic/Likely pathogenic
498,Pathogenic/Likely pathogenic
499,Pathogenic/Likely pathogenic
500,Pathogenic
501,Pathogenic
502,Pathogenic
503,Uncertain significance
504,Uncertain significance
505,Conflicting interpretations of pathogenicity
506,Conflicting interpretations of pathogenicity
507,Conflicting interpretations of pathogenicity
508,Conflicting interpretations of pathogenicity
509,Conflicting interpretations of pathogenicity
510,Conflicting interpretations of pathogenicity
511,Conflicting interpretations of pathogenicity
512,Conflicting interpretations of pathogenicity
513,Pathogenic
514,Pathogenic
515,Pathogenic
516,Pathogenic
517,Pathogenic
518,Pathogenic
519,Pathogenic
520,Conflicting interpretations of pathogenicity
521,Conflicting interpretations of pathogenicity
522,Pathogenic
523,Pathogenic
524,Pathogenic
525,Pathogenic
526,Pathogenic
527,Pathogenic
528,Pathogenic
529,Pathogenic
530,Pathogenic
531,Pathogenic
532,Pathogenic
533,Pathogenic
534,Pathogenic
535,Pathogenic
536,Pathogenic
537,Pathogenic
538,Likely pathogenic
539,Likely pathogenic
540,Likely pathogenic
541,Pathogenic
542,Pathogenic
543,Pathogenic
544,Pathogenic
545,Pathogenic
546,Pathogenic
547,Pathogenic
548,Pathogenic
549,Pathogenic
550,Pathogenic
551,Pathogenic
552,Pathogenic
553,Pathogenic
554,Pathogenic
555,Pathogenic
556,Pathogenic
557,Pathogenic
558,Pathogenic
559,Pathogenic
560,Pathogenic
561,Conflicting interpretations of pathogenicity
562,Conflicting interpretations of pathogenicity
563,Pathogenic
564,Pathogenic
565,Likely pathogenic
566,Likely pathogenic
567,Pathogenic
568,Pathogenic
569,Pathogenic
570,Pathogenic
571,Pathogenic
572,Pathogenic
573,Pathogenic
574,Pathogenic
575,Pathogenic
576,Pathogenic
577,Pathogenic
578,Pathogenic
579,Pathogenic
580,Pathogenic
581,Pathogenic
582,Pathogenic
583,Pathogenic
584,Pathogenic
585,Likely pathogenic
586,Likely pathogenic
587,Pathogenic
588,Pathogenic
589,Pathogenic
590,Pathogenic
591,Pathogenic/Likely pathogenic
592,Pathogenic/Likely pathogenic
593,Pathogenic/Likely pathogenic
594,Pathogenic/Likely pathogenic
595,Pathogenic/Likely pathogenic
596,Pathogenic/Likely pathogenic
597,Pathogenic
598,Pathogenic
599,Pathogenic
600,Pathogenic
601,Pathogenic/Likely pathogenic
602,Pathogenic/Likely pathogenic
603,Pathogenic
604,Pathogenic
605,Pathogenic
606,Pathogenic
607,Pathogenic
608,Pathogenic
609,Pathogenic
610,Pathogenic
611,Uncertain significance
612,Pathogenic
613,Pathogenic
614,Pathogenic
615,Uncertain significance
616,Uncertain significance
617,Conflicting interpretations of pathogenicity
618,Conflicting interpretations of pathogenicity
619,Pathogenic
620,Pathogenic
621,Pathogenic
622,Pathogenic
623,Likely pathogenic
624,Likely pathogenic
625,Pathogenic
626,Pathogenic
627,Pathogenic
628,Pathogenic
629,Pathogenic
630,Pathogenic
631,Pathogenic
632,drug response
633,drug response
634,drug response
635,drug response
636,drug response
637,Uncertain significance
638,Benign
639,Benign
640,Pathogenic
641,Pathogenic
642,Pathogenic
643,Pathogenic
644,Pathogenic
645,Pathogenic
646,Pathogenic
647,Pathogenic
648,Conflicting interpretations of pathogenicity
649,Conflicting interpretations of pathogenicity
650,Likely pathogenic
651,Likely pathogenic
652,Pathogenic
653,Pathogenic
654,Pathogenic/Likely pathogenic
655,Pathogenic/Likely pathogenic
656,Pathogenic
657,Pathogenic
658,Uncertain significance
659,Uncertain significance
660,Uncertain significance
661,Pathogenic
662,Pathogenic
663,Pathogenic
664,Pathogenic
665,Pathogenic
666,Pathogenic
667,Pathogenic
668,Pathogenic
669,Pathogenic
670,Pathogenic/Likely pathogenic
671,Pathogenic
672,Pathogenic
673,Pathogenic/Likely pathogenic
674,Pathogenic/Likely pathogenic
675,Pathogenic/Likely pathogenic
676,Pathogenic/Likely pathogenic
677,Uncertain significance
678,Uncertain significance
679,Pathogenic
680,Uncertain significance
681,Uncertain significance
682,Pathogenic
683,Pathogenic
684,Pathogenic
685,Pathogenic/Likely pathogenic
686,Pathogenic
687,Likely pathogenic
688,Likely pathogenic
689,Pathogenic
690,Pathogenic
691,Pathogenic
692,Pathogenic
693,Pathogenic
694,Pathogenic
695,Pathogenic
696,Pathogenic
697,Pathogenic
698,Pathogenic
699,Pathogenic
700,Pathogenic
701,Pathogenic
702,Pathogenic
703,Pathogenic
704,Pathogenic
705,Pathogenic
706,Pathogenic/Likely pathogenic
707,Pathogenic/Likely pathogenic
708,Likely pathogenic
709,Pathogenic
710,Pathogenic
711,Pathogenic
712,Pathogenic
713,Pathogenic
714,Pathogenic
715,Pathogenic
716,Pathogenic
717,Pathogenic/Likely pathogenic
718,Pathogenic/Likely pathogenic
719,Pathogenic/Likely pathogenic
720,Pathogenic/Likely pathogenic
721,Pathogenic
722,Pathogenic
723,Pathogenic
724,Pathogenic
725,Pathogenic
726,Pathogenic
727,Conflicting interpretations of pathogenicity
728,Conflicting interpretations of pathogenicity
729,Conflicting interpretations of pathogenicity
730,Conflicting interpretations of pathogenicity
731,Conflicting interpretations of pathogenicity
732,Pathogenic
733,Pathogenic
734,no interpretation for the single variant
735,Pathogenic
736,Pathogenic
737,Likely pathogenic
738,Likely pathogenic
739,Pathogenic
740,Pathogenic
741,Uncertain significance
742,Pathogenic
743,Likely pathogenic
744,Likely pathogenic
745,Likely pathogenic
746,Pathogenic
747,Pathogenic
748,Pathogenic
749,Pathogenic
750,Pathogenic
751,Pathogenic
752,Pathogenic
753,Pathogenic
754,Pathogenic
755,Pathogenic
756,Pathogenic
757,Pathogenic
758,Pathogenic
759,Pathogenic
760,Pathogenic/Likely pathogenic
761,Pathogenic/Likely pathogenic
762,Pathogenic/Likely pathogenic
763,Pathogenic
764,Pathogenic
765,Pathogenic
766,Pathogenic
767,Pathogenic
768,Pathogenic
769,Pathogenic
770,Pathogenic
771,Pathogenic
772,Pathogenic
773,Likely pathogenic
774,Likely pathogenic
775,Likely pathogenic
776,Pathogenic
777,Pathogenic
778,Pathogenic
779,Pathogenic
780,Pathogenic
781,Pathogenic
782,Pathogenic
783,Pathogenic
784,Pathogenic
785,Pathogenic
786,Pathogenic
787,Pathogenic
788,Pathogenic
789,Pathogenic
790,Likely pathogenic
791,Likely pathogenic
792,Pathogenic/Likely pathogenic
793,Pathogenic/Likely pathogenic
794,Pathogenic
795,Pathogenic
796,Pathogenic/Likely pathogenic
797,Pathogenic/Likely pathogenic
798,Pathogenic
799,Pathogenic
800,Pathogenic
801,Pathogenic
802,Pathogenic
803,Pathogenic
804,Likely pathogenic
805,Likely pathogenic
806,Pathogenic
807,Pathogenic
808,Pathogenic
809,Pathogenic
810,Pathogenic
811,Pathogenic
812,Pathogenic/Likely pathogenic
813,Pathogenic/Likely pathogenic
814,Likely pathogenic
815,Likely pathogenic
816,Likely pathogenic
817,Likely pathogenic
818,Pathogenic
819,Pathogenic
820,Pathogenic
821,Pathogenic
822,Pathogenic
823,Pathogenic
824,Pathogenic
825,Pathogenic
826,Likely pathogenic
827,Likely pathogenic
828,Pathogenic
829,Pathogenic
830,Pathogenic
831,Pathogenic
832,Pathogenic
833,Pathogenic
834,Pathogenic
835,Pathogenic
836,Pathogenic
837,Pathogenic
838,Likely pathogenic
839,Likely pathogenic
840,Likely pathogenic
841,Pathogenic
842,Pathogenic
843,Pathogenic
844,Pathogenic
845,Pathogenic
846,Pathogenic
847,Pathogenic
848,Likely pathogenic
849,Likely pathogenic
850,Likely pathogenic
851,Pathogenic
852,Pathogenic
853,Pathogenic
854,Pathogenic
855,Pathogenic
856,Pathogenic
857,Pathogenic
858,Pathogenic
859,Likely pathogenic
860,Likely pathogenic
861,Pathogenic
862,Pathogenic
863,Pathogenic
864,Pathogenic/Likely pathogenic
865,Pathogenic/Likely pathogenic
866,Pathogenic/Likely pathogenic
867,Pathogenic
868,Pathogenic
869,Pathogenic
870,Pathogenic; risk factor
871,Pathogenic; risk factor
872,Pathogenic; risk factor
873,Pathogenic; risk factor
874,Pathogenic; risk factor
875,Pathogenic; risk factor
876,Pathogenic; risk factor
877,Pathogenic; risk factor
878,Conflicting interpretations of pathogenicity
879,Conflicting interpretations of pathogenicity
880,Conflicting interpretations of pathogenicity
881,Conflicting interpretations of pathogenicity
882,Pathogenic
883,Pathogenic
884,Pathogenic
885,Pathogenic
886,Pathogenic
887,Likely pathogenic
888,Pathogenic
889,Pathogenic
890,Pathogenic
891,Pathogenic
892,Pathogenic/Likely pathogenic
893,Pathogenic/Likely pathogenic
894,Pathogenic/Likely pathogenic
895,Pathogenic
896,Conflicting interpretations of pathogenicity
897,Conflicting interpretations of pathogenicity
898,Pathogenic/Likely pathogenic
899,Pathogenic/Likely pathogenic
900,Pathogenic
901,Pathogenic
902,Pathogenic/Likely pathogenic
903,Pathogenic/Likely pathogenic
904,Pathogenic/Likely pathogenic
905,Pathogenic
906,Pathogenic
907,Pathogenic
908,Pathogenic
909,Pathogenic/Likely pathogenic
910,Pathogenic/Likely pathogenic
911,Pathogenic/Likely pathogenic
912,Pathogenic/Likely pathogenic
913,Pathogenic/Likely pathogenic
914,Pathogenic
915,Conflicting interpretations of pathogenicity
916,Conflicting interpretations of pathogenicity
917,Conflicting interpretations of pathogenicity
918,Conflicting interpretations of pathogenicity
919,Pathogenic
920,Pathogenic
921,Pathogenic
922,Pathogenic
923,Pathogenic
924,Likely pathogenic
925,Pathogenic
926,Pathogenic
927,Pathogenic
928,Pathogenic
929,Pathogenic
930,Benign
931,Benign
932,Benign
933,Pathogenic
934,Pathogenic
935,Pathogenic/Likely pathogenic
936,Likely pathogenic
937,Likely pathogenic
938,Pathogenic
939,Pathogenic
940,Likely pathogenic
941,Uncertain significance
942,Pathogenic/Likely pathogenic
943,Pathogenic/Likely pathogenic
944,Pathogenic/Likely pathogenic
945,Uncertain significance
946,Pathogenic/Likely pathogenic
947,Pathogenic/Likely pathogenic
948,Pathogenic/Likely pathogenic
949,Pathogenic
950,Likely pathogenic
951,Likely pathogenic
952,Pathogenic/Likely pathogenic
953,Pathogenic
954,Pathogenic
955,Pathogenic
956,Pathogenic
957,Pathogenic
958,Uncertain significance
959,Pathogenic
960,Pathogenic
961,Pathogenic/Likely pathogenic
962,Pathogenic/Likely pathogenic
963,Likely pathogenic
964,Pathogenic
965,Pathogenic
966,Pathogenic
967,Pathogenic
968,drug response
969,drug response
970,drug response
971,drug response
972,association
973,association
974,Pathogenic
975,Pathogenic
976,Pathogenic
977,Pathogenic
978,Pathogenic
979,Pathogenic
980,Pathogenic
981,Pathogenic
982,Pathogenic
983,Pathogenic
984,Pathogenic
985,Pathogenic
986,Pathogenic
987,Pathogenic
988,Pathogenic
989,Pathogenic
990,Conflicting interpretations of pathogenicity
991,Conflicting interpretations of pathogenicity
992,Conflicting interpretations of pathogenicity
993,Conflicting interpretations of pathogenicity
994,Pathogenic/Likely pathogenic
995,Pathogenic/Likely pathogenic
996,Pathogenic/Likely pathogenic
997,Pathogenic
998,Pathogenic
999,Pathogenic
1000,Pathogenic/Likely pathogenic
1001,Pathogenic/Likely pathogenic
1002,Pathogenic/Likely pathogenic
1003,Pathogenic/Likely pathogenic
1004,Pathogenic/Likely pathogenic
1005,Pathogenic/Likely pathogenic
1006,Conflicting interpretations of pathogenicity
1007,Conflicting interpretations of pathogenicity
1008,Conflicting interpretations of pathogenicity
1009,Conflicting interpretations of pathogenicity
1010,Pathogenic/Likely pathogenic
1011,Pathogenic/Likely pathogenic
1012,Pathogenic/Likely pathogenic
1013,Pathogenic
1014,risk factor
1015,risk factor
1016,risk factor
1017,risk factor
0,Uncertain significance
1,Pathogenic
2,Pathogenic
3,Pathogenic
4,Uncertain significance
5,Uncertain significance
6,Conflicting interpretations of pathogenicity; other; risk factor
7,Conflicting interpretations of pathogenicity; other; risk factor
8,Conflicting interpretations of pathogenicity; other; risk factor
9,Conflicting interpretations of pathogenicity; other; risk factor
10,Conflicting interpretations of pathogenicity; other; risk factor
11,Conflicting interpretations of pathogenicity; other; risk factor
12,Conflicting interpretations of pathogenicity; other; risk factor
13,Conflicting interpretations of pathogenicity; other; risk factor
14,Conflicting interpretations of pathogenicity; other; risk factor
15,Conflicting interpretations of pathogenicity; other; risk factor
16,Conflicting interpretations of pathogenicity; other; risk factor
17,Conflicting interpretations of pathogenicity; other; risk factor
18,Conflicting interpretations of pathogenicity; other; risk factor
19,Conflicting interpretations of pathogenicity; other; risk factor
20,Conflicting interpretations of pathogenicity; other; risk factor
21,Conflicting interpretations of pathogenicity; other; risk factor
22,Conflicting interpretations of pathogenicity; other
23,Conflicting interpretations of pathogenicity; other
24,Conflicting interpretations of pathogenicity; other
25,Conflicting interpretations of pathogenicity; other
26,Conflicting interpretations of pathogenicity; other
27,Conflicting interpretations of pathogenicity; other
28,Conflicting interpretations of pathogenicity; other
29,Conflicting interpretations of pathogenicity; other
30,Conflicting interpretations of pathogenicity; other
31,Conflicting interpretations of pathogenicity; other
32,Conflicting interpretations of pathogenicity
33,Conflicting interpretations of pathogenicity
34,Conflicting interpretations of pathogenicity
35,Uncertain significance
36,Uncertain significance
37,Pathogenic
38,Uncertain significance
39,Uncertain significance
40,Uncertain significance
41,Uncertain significance
42,Pathogenic
43,Pathogenic
44,Pathogenic
45,Pathogenic
46,Pathogenic
47,Likely pathogenic
48,Pathogenic
49,Uncertain significance
50,Uncertain significance
51,Pathogenic/Likely pathogenic
52,Conflicting interpretations of pathogenicity
53,Pathogenic
54,Pathogenic/Likely pathogenic
55,Pathogenic
56,Pathogenic
57,Pathogenic
58,Pathogenic
59,Pathogenic
60,Pathogenic
61,Pathogenic
62,Pathogenic
63,Pathogenic
64,Pathogenic
65,Pathogenic
66,Conflicting interpretations of pathogenicity
67,Conflicting interpretations of pathogenicity
68,Pathogenic
69,Pathogenic
70,risk factor
71,risk factor
72,Pathogenic
73,Pathogenic
74,Conflicting interpretations of pathogenicity
75,Conflicting interpretations of pathogenicity
76,Conflicting interpretations of pathogenicity
77,Pathogenic
78,Pathogenic
79,Pathogenic/Likely pathogenic
80,Pathogenic/Likely pathogenic
81,Pathogenic/Likely pathogenic
82,Likely pathogenic
83,Pathogenic
84,Uncertain significance
85,Pathogenic
86,Pathogenic
87,Pathogenic
88,Pathogenic
89,Pathogenic
90,Pathogenic
91,Uncertain significance
92,Pathogenic
93,Uncertain significance
94,Conflicting interpretations of pathogenicity
95,Conflicting interpretations of pathogenicity
96,Likely pathogenic
97,Pathogenic
98,Pathogenic
99,Pathogenic
100,Conflicting interpretations of pathogenicity
101,Pathogenic/Likely pathogenic
102,Pathogenic/Likely pathogenic
103,Pathogenic
104,Pathogenic
105,Pathogenic
106,Pathogenic
107,Pathogenic
108,Pathogenic
109,Pathogenic
110,Pathogenic
111,Pathogenic
112,Likely pathogenic
113,Likely pathogenic
114,Pathogenic
